"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"250680 (2005 QC5)",0.893,0.3645,9.45,48.05,108.72,0.568,1.22,0.844,16106,0,125,,,19.63
"250706 (2005 RR6)",2.957,0.7011,6.93,27.27,59.96,0.884,5.03,5.09,5639,0,399,,,18.55
"251346 (2007 SJ)",2.015,0.5332,8.18,306.76,175.25,0.940,3.09,2.86,12409,0,1022,2,0,16.89
"251722 (1997 US2)",1.675,0.6608,3.17,65.89,100.33,0.568,2.78,2.17,9551,0,260,,,19.82
"252399 (2001 TX44)",0.8748,0.5459,15.21,57.76,136.04,0.397,1.35,0.818,8116,0,351,,,19.41
"253841 (2003 YG118)",2.28,0.6461,8.03,347.42,233.54,0.807,3.75,3.44,6864,0,519,,,17.28
"255071 (2005 UH6)",1.001,0.6325,2.64,19.29,200.25,0.368,1.63,1,7735,1,160,,,18.36
"260141 (2004 QT24)",1.133,0.2519,17.75,36.10,76.64,0.847,1.42,1.21,9049,0,812,,,18.31
"263976 (2009 KD5)",1.046,0.2615,13.47,104.49,294.37,0.773,1.32,1.07,27087,0,845,,,18.40
"264357 (2000 AZ93)",0.7469,0.3600,8.59,277.30,8.17,0.478,1.02,0.645,8000,0,160,4,1,21.17
"264993 (2003 DX10)",1.375,0.4108,3.15,61.75,194.06,0.810,1.94,1.61,7891,0,419,,,20.42
"265196 (2004 BW58)",1.455,0.3787,15.21,132.61,301.85,0.904,2.01,1.75,7554,0,487,,,18.84
"265482 (2005 EE)",1.129,0.3277,6.17,110.78,284.75,0.759,1.50,1.2,6907,0,462,2,3,21.21
"267131 (2000 EK26)",2.41,0.6573,15.65,126.39,305.54,0.826,3.99,3.74,5506,0,84,,,18.21
"267221 (2001 AD2)",1.04,0.6598,1.64,210.54,111.95,0.354,1.73,1.06,6976,0,461,,,19.85
"267337 (2001 VK5)",1.269,0.5140,19.43,54.22,263.93,0.617,1.92,1.43,8363,0,1034,0,1,18.06
"267494 (2002 JB9)",2.719,0.7843,46.76,70.21,278.00,0.586,4.85,4.48,8071,0,594,,,16.18
"267720 (2003 CA)",1.379,0.7196,21.15,126.17,234.82,0.387,2.37,1.62,7696,0,353,,,18.93
"267729 (2003 FC5)",1.917,0.6087,5.83,188.76,271.26,0.750,3.08,2.65,7646,0,817,,,18.46
"269690 (1996 RG3)",2.001,0.6037,3.58,158.05,300.27,0.793,3.21,2.83,10195,0,245,,,18.47
"275677 (2000 RS11)",1.28,0.3205,17.10,172.16,301.69,0.870,1.69,1.45,8328,0,409,10,1,19.22
"276033 (2002 AJ129)",1.37,0.9149,15.44,138.01,211.04,0.117,2.62,1.6,8132,0,563,3,2,18.78
"277475 (2005 WK4)",1.011,0.2374,9.84,138.11,74.13,0.771,1.25,1.02,3563,0,332,9,3,20.22
"277570 (2005 YP180)",1.372,0.6170,4.11,288.91,92.47,0.526,2.22,1.61,6670,0,243,,,19.34
"279744 (1998 KM3)",1.67,0.6108,4.66,263.02,85.36,0.650,2.69,2.16,9497,0,123,,,19.86
"279816 (2000 JE5)",1.238,0.4006,50.74,41.23,285.16,0.742,1.73,1.38,8224,0,188,,,19.27
"281375 (2008 JV19)",0.9856,0.2485,7.23,141.96,310.61,0.741,1.23,0.978,3374,0,607,,,20.81
