"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"     C/2019 Y4-D (ATLAS)",22.64,0.9887,44.82,120.58,177.80,0.255,45.02,108,8,9,76,,,
"     P/2020 G1 (Pimentel)",3.603,0.8596,18.47,240.11,207.64,0.506,6.70,6.84,97,5,490,,,
"     C/2020 M3 (ATLAS)",26.82,0.9527,23.47,71.25,328.45,1.268,52.37,139,348,3,2344,,,
"     C/2020 P4-B",1.02,0.9092,28.15,173.43,171.61,0.093,1.95,1.03,1,9,80,,,
"     C/2020 P4-C",1.391,0.9394,37.56,165.26,116.42,0.084,2.70,1.64,,9,29,,,
"     P/2021 HS (PANSTARRS)",4.196,0.8102,12.17,262.40,46.09,0.796,7.59,8.59,243,4,181,,,
"     P/2021 N1 (ZTF)",2.977,0.6768,11.51,301.16,21.19,0.962,4.99,5.14,25,7,96,,,
"     P/2021 PE20 (ATLAS)",3.746,0.6708,20.02,99.63,210.45,1.233,6.26,7.25,95,5,112,,,
"     P/2021 Q5 (ATLAS)",3.285,0.6242,10.73,239.78,180.89,1.235,5.34,5.96,55,7,258,,,
"     C/2023 E1 (ATLAS)",19.33,0.9469,38.31,164.57,105.89,1.027,37.64,85,325,3,3004,,,
"     C/2023 S3 (Lemmon)",28.47,0.9708,140.50,233.83,281.57,0.830,56.11,152,251,2,692,,,
"     P/2024 L4 (Rankin)",2.229,0.6984,10.05,139.78,53.71,0.672,3.79,3.33,44,6,75,,,
