"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2006 WF129)",2.642,0.5327,22.07,268.50,125.87,1.235,4.05,4.3,6229,0,104,,,19.13
"       (2006 WG129)",1.76,0.4239,11.04,276.05,212.07,1.014,2.51,2.34,5140,0,55,,,20.60
"       (2006 WG130)",2.408,0.5995,11.28,64.07,325.37,0.965,3.85,3.74,2,9,19,,,24.70
"       (2006 WH130)",1.305,0.1810,17.06,66.99,18.45,1.068,1.54,1.49,18,8,23,,,23.80
"       (2006 WJ130)",1.133,0.1350,22.40,244.80,130.07,0.980,1.29,1.21,3,8,18,,,24.10
"       (2006 WK130)",2.108,0.6822,13.80,72.25,276.84,0.670,3.55,3.06,22,8,31,,,22.30
"       (2006 WO130)",0.9797,0.2594,4.61,248.87,61.86,0.726,1.23,0.97,,9,11,,,26.89
"       (2006 WZ184)",1.366,0.3283,0.84,249.06,128.29,0.917,1.81,1.6,27,7,36,,,26.30
"       (2006 XB)",1.748,0.4962,6.84,143.58,13.42,0.881,2.62,2.31,5324,0,76,,,21.02
"       (2006 XW)",1.102,0.0373,8.23,75.72,231.13,1.061,1.14,1.16,5451,0,72,,,23.25
"       (2006 XX)",2.539,0.5829,5.24,81.23,337.51,1.059,4.02,4.05,30,7,32,,,23.40
"       (2006 XY)",1.504,0.3413,3.52,257.48,185.18,0.991,2.02,1.85,4047,0,196,,,24.20
"       (2006 XF1)",1.358,0.5368,32.17,264.83,46.72,0.629,2.09,1.58,5833,0,91,,,19.60
"       (2006 XH1)",2.357,0.4569,6.31,278.78,184.18,1.280,3.43,3.62,4081,0,113,,,20.50
"       (2006 XJ1)",1.262,0.1606,17.41,269.55,135.29,1.060,1.47,1.42,6271,0,247,,,21.39
"       (2006 XK1)",2.517,0.7008,13.16,329.86,173.33,0.753,4.28,3.99,11,9,39,,,19.30
"       (2006 XE2)",1.15,0.3098,20.02,268.07,70.18,0.794,1.51,1.23,27,7,79,,,22.00
"       (2006 XF2)",2.191,0.4898,26.90,78.59,45.67,1.118,3.26,3.24,4931,0,171,,,20.01
"       (2006 XH2)",2.293,0.7363,2.03,51.21,297.45,0.605,3.98,3.47,12,9,30,,,24.40
"       (2006 XJ2)",1.66,0.3420,8.68,257.71,157.28,1.093,2.23,2.14,5467,1,48,,,24.23
"       (2006 XK2)",1.54,0.6477,8.66,93.09,240.49,0.543,2.54,1.91,1267,1,66,,,20.63
"       (2006 XX2)",0.9859,0.3106,17.65,260.56,67.68,0.680,1.29,0.979,10,7,32,,,25.10
"       (2006 XY2)",1.525,0.2480,13.97,266.23,209.49,1.147,1.90,1.88,28,6,37,,,22.50
"       (2006 XA3)",2.369,0.6239,4.99,84.89,308.52,0.891,3.85,3.65,8,8,35,,,25.20
"       (2006 XN4)",2.608,0.6107,6.68,260.40,191.71,1.015,4.20,4.21,10,8,44,,,24.00
"       (2006 XO4)",0.8389,0.3012,8.47,266.65,29.08,0.586,1.09,0.768,3666,1,60,,,23.40
"       (2006 XP4)",0.8726,0.2143,0.52,293.02,346.97,0.686,1.06,0.815,4773,0,152,,,23.90
"       (2006 XQ4)",1.474,0.2966,6.15,261.04,182.69,1.037,1.91,1.79,6,8,42,,,26.10
"       (2006 XR4)",1.04,0.2692,10.95,263.02,275.41,0.760,1.32,1.06,1,7,40,,,26.16
"       (2006 XV4)",2.591,0.6257,3.99,259.13,159.38,0.970,4.21,4.17,14,8,29,,,24.90
"       (2006 XW4)",1.046,0.0878,13.34,79.81,259.95,0.954,1.14,1.07,9,7,21,,,24.30
"       (2006 XD27)",3.067,0.5850,18.61,283.84,250.28,1.273,4.86,5.37,5935,1,32,,,18.36
"       (2006 YA)",1.739,0.4243,15.43,92.11,28.13,1.001,2.48,2.29,20,7,101,,,23.18
"       (2006 YB)",2.067,0.5113,4.42,75.56,44.75,1.010,3.12,2.97,11,8,33,,,24.10
"       (2006 YE)",1.745,0.4401,0.32,252.53,211.48,0.977,2.51,2.31,1,7,28,,,27.30
"       (2006 YF)",1.108,0.1988,4.68,274.29,27.33,0.888,1.33,1.17,5159,0,128,,,21.05
"       (2006 YM)",0.8984,0.1231,12.89,86.32,171.07,0.788,1.01,0.852,6203,0,34,,,24.48
"       (2006 YP)",1.145,0.2114,5.40,69.29,95.22,0.903,1.39,1.23,4200,0,45,,,23.90
"       (2006 YU1)",2.656,0.5480,8.12,292.26,191.39,1.201,4.11,4.33,4866,0,175,,,21.00
"       (2006 YV1)",1.257,0.4435,4.97,302.74,49.83,0.700,1.81,1.41,6253,1,105,,,21.59
"       (2006 YH2)",1.963,0.4492,4.36,91.46,342.68,1.081,2.84,2.75,3,8,17,,,25.40
